year,month,average
2009,11,386.02
2009,12,387.42
2010,1,388.71
2010,2,390.2
2010,3,391.17
2010,4,392.46
2010,5,393
2010,6,392.15
2010,7,390.2
2010,8,388.35
2010,9,386.85
2010,10,387.24
2010,11,388.67
2010,12,389.79
2011,1,391.33
2011,2,391.86
2011,3,392.6
2011,4,393.25
2011,5,394.19
2011,6,393.74
2011,7,392.51
2011,8,390.13
2011,9,389.08
2011,10,389
2011,11,390.28
2011,12,391.86
2012,1,393.12
2012,2,393.86
2012,3,394.4
2012,4,396.18
2012,5,396.74
2012,6,395.71
2012,7,394.36
2012,8,392.39
2012,9,391.11
2012,10,391.05
2012,11,392.98
2012,12,394.34
2013,1,395.55
2013,2,396.8
2013,3,397.43
2013,4,398.41
2013,5,399.78
2013,6,398.6
2013,7,397.32
2013,8,395.2
2013,9,393.45
2013,10,393.7
2013,11,395.16
2013,12,396.84
2014,1,397.85
2014,2,398.01
2014,3,399.77
2014,4,401.38
2014,5,401.78
2014,6,401.25
2014,7,399.1
2014,8,397.03
2014,9,395.38
2014,10,396.03
2014,11,397.28
2014,12,398.91
2015,1,399.98
2015,2,400.28
2015,3,401.54
2015,4,403.28
2015,5,403.96
2015,6,402.8
2015,7,401.31
2015,8,398.93
2015,9,397.63
2015,10,398.29
2015,11,400.16
2015,12,401.85
2016,1,402.56
2016,2,404.12
2016,3,404.87
2016,4,407.45
2016,5,407.72
2016,6,406.83
2016,7,404.41
2016,8,402.27
2016,9,401.05
2016,10,401.59
2016,11,403.55
2016,12,404.45
2017,1,406.17
2017,2,406.46
2017,3,407.22
2017,4,409.04
2017,5,409.69
2017,6,408.88
2017,7,407.12
2017,8,405.13
2017,9,403.37
2017,10,403.63
2017,11,405.12
2017,12,406.81
2018,1,407.96
2018,2,408.32
2018,3,409.41
2018,4,410.24
2018,5,411.24
2018,6,410.79
2018,7,408.71
2018,8,406.99
2018,9,405.51
2018,10,406
2018,11,408.02
2018,12,409.07
2019,1,410.83
2019,2,411.75
2019,3,411.97
2019,4,413.33
2019,5,414.64
2019,6,413.93
2019,7,411.74
2019,8,409.95
2019,9,408.54
2019,10,408.52
2019,11,410.25
2019,12,411.76
2020,1,413.39
2020,2,414.11
2020,3,414.51
2020,4,416.21
2020,5,417.07
2020,6,416.39
